fecha_prueba,Negativo,Positivo,IgM e IgG Positivo
2/02/2022,7637874,1113908,220005
2/02/2023,7648160,1114076,220078
2/03/2021,7682872,1119598,220091
2/03/2022,7716752,1120352,220320
2/03/2023,7725639,1120509,220401
2/04/2021,7736090,1124161,220401
2/04/2022,7758580,1124396,220472
2/04/2023,7761930,1124506,220512
2/05/2020,7761932,1124507,220512
2/05/2021,7771046,1126033,220512
2/05/2022,7796028,1126238,220551
2/06/2020,7796029,1126239,220551
2/06/2021,7828627,1129881,220733
2/06/2022,7851542,1130518,220868
2/07/2020,7851545,1130519,220868
2/07/2021,7884493,1132436,221308
2/07/2022,7908095,1135887,222002
2/08/2020,7908095,1135888,222002
2/08/2021,7948319,1137369,222391
2/08/2022,7981826,1146722,224723
2/09/2020,7981829,1146729,224723
2/09/2021,8013848,1147614,224894
2/09/2022,8032419,1149152,224926
2/10/2020,8032428,1149153,224926
2/10/2021,8057746,1149855,225118
2/10/2022,8063875,1150010,225148
2/11/2020,8063975,1150014,225148
2/11/2021,8101295,1150973,225437
2/11/2022,8115530,1151402,225656
2/12/2020,8115851,1151423,225656
2/12/2021,8146930,1152452,225666
2/12/2022,8172391,1163311,230221
20/01/2021,8184936,1165282,230221
20/01/2022,8264913,1214644,240020
20/01/2023,8274390,1214974,240227
20/02/2021,8295276,1219162,240227
20/02/2022,8311227,1220076,240419
20/02/2023,8322281,1220240,240509
20/03/2021,8351197,1226693,240509
20/03/2022,8364105,1226860,240539
20/03/2023,8372963,1227157,240659
20/04/2020,8372964,1227157,240659
20/04/2021,8413218,1234834,240670
20/04/2022,8444285,1235117,240713
20/05/2020,8444285,1235118,240713
20/05/2021,8476483,1239218,240716
20/05/2022,8498728,1239599,240787
20/06/2021,8506944,1240221,240935
20/06/2022,8532094,1241989,241516
20/07/2020,8532096,1241991,241516
20/07/2021,8567541,1243434,241882
20/07/2022,8612034,1254888,245189
20/08/2020,8612039,1254891,245189
20/08/2021,8645184,1255842,245446
20/08/2022,8666292,1258511,246580
20/09/2020,8666294,1258512,246580
20/09/2021,8702108,1259507,246892
20/09/2022,8725080,1260086,247094
20/10/2020,8725112,1260090,247094
20/10/2021,8758180,1260907,247350
20/10/2022,8771707,1261157,247382
20/11/2020,8771875,1261171,247382
20/11/2021,8796706,1262000,247648
20/11/2022,8804000,1263386,248127
20/12/2020,8804281,1263438,248127
20/12/2021,8836625,1264975,248141
20/12/2022,8853489,1268043,250307
21/01/2021,8866550,1270167,250307
21/01/2022,8943229,1315463,259759
21/01/2023,8951447,1315686,259935
21/02/2021,8956869,1316933,259935
21/02/2022,9000109,1319028,260544
21/02/2023,9011469,1319198,260632
21/03/2020,9011470,1319198,260632
21/03/2021,9019181,1321057,260632
21/03/2022,9056043,1321518,260759
21/03/2023,9064486,1321779,260874
21/04/2020,9064487,1321779,260874
21/04/2021,9104125,1329228,260882
21/04/2022,9131745,1329487,260912
21/05/2020,9131748,1329488,260912
21/05/2021,9162914,1333478,260914
21/05/2022,9179337,1333793,260965
21/06/2020,9179338,1333793,260965
21/06/2021,9216596,1337051,261663
21/06/2022,9242967,1338853,262180
21/07/2020,9242969,1338857,262180
21/07/2021,9276586,1340193,262542
21/07/2022,9320895,1351291,266253
21/08/2020,9320895,1351292,266253
21/08/2021,9346273,1352037,266518
21/08/2022,9356531,1353139,266956
21/09/2020,9356562,1353143,266956
21/09/2021,9391316,1354007,267229
21/09/2022,9411117,1354490,267421
21/10/2020,9411128,1354495,267421
21/10/2021,9443966,1355342,267682
21/10/2022,9457979,1355553,267781
21/11/2020,9458086,1355561,267781
21/11/2021,9470358,1355918,267908
21/11/2022,9492459,1361404,270218
21/12/2020,9493766,1361536,270218
21/12/2021,9525428,1363073,270226
21/12/2022,9540530,1365893,272090
22/01/2021,9552794,1368116,272090
22/01/2022,9613928,1404036,279784
22/01/2023,9619149,1404147,279844
22/02/2021,9648483,1409941,279876
22/02/2022,9689862,1411628,280361
22/02/2023,9700127,1411818,280422
22/03/2021,9734730,1420703,280424
22/03/2022,9770735,1421126,280513
22/03/2023,9779260,1421441,280608
22/04/2021,9816435,1428610,280612
22/04/2022,9844950,1428879,280652
22/05/2020,9844951,1428880,280652
22/05/2021,9869243,1432332,280652
22/05/2022,9878651,1432481,280675
22/06/2020,9878652,1432481,280675
22/06/2021,9913881,1435243,281262
22/06/2022,9940172,1437281,281917
22/07/2020,9940172,1437282,281917
22/07/2021,9974764,1438502,282233
22/07/2022,10015734,1448794,285794
22/08/2020,10015735,1448795,285794
22/08/2021,10026380,1449130,285881
22/08/2022,10057416,1453088,287593
22/09/2020,10057422,1453089,287593
22/09/2021,10089088,1453872,287871
22/09/2022,10107628,1454283,288047
22/10/2020,10107643,1454285,288047
22/10/2021,10137710,1455040,288302
22/10/2022,10147504,1455210,288356
22/11/2020,10147548,1455218,288356
22/11/2021,10185522,1456514,288771
22/11/2022,10207049,1462026,291199
22/12/2020,10208392,1462179,291199
22/12/2021,10239858,1463802,291210
22/12/2022,10253530,1466163,292855
23/01/2021,10262941,1468220,292855
